Energy_eV,Reflectivity,Reflectivity_Percent
8000.0,0.0,0.0
8010.10101010101,0.0,0.0
8020.20202020202,0.0,0.0
8030.30303030303,0.0,0.0
8040.404040404041,0.0,0.0
8050.50505050505,0.0,0.0
8060.606060606061,0.0,0.0
8070.707070707071,0.0,0.0
8080.80808080808,0.0,0.0
8090.909090909091,0.0,0.0
8101.010101010101,0.0,0.0
8111.111111111111,0.0,0.0
8121.212121212121,0.0,0.0
8131.313131313132,0.0,0.0
8141.414141414141,0.0,0.0
8151.515151515152,0.0,0.0
8161.616161616162,0.0,0.0
8171.717171717171,0.0,0.0
8181.818181818182,0.0,0.0
8191.919191919192,0.0,0.0
8202.020202020201,0.0,0.0
8212.121212121212,0.0,0.0
8222.222222222223,0.0,0.0
8232.323232323231,0.0,0.0
8242.424242424242,0.0,0.0
8252.525252525253,0.0,0.0
8262.626262626263,0.0,0.0
8272.727272727272,0.0,0.0
8282.828282828283,0.0,0.0
8292.929292929293,0.0,0.0
8303.030303030304,0.0,0.0
8313.131313131313,0.0,0.0
8323.232323232323,0.0,0.0
8333.333333333334,0.0,0.0
8343.434343434343,0.0,0.0
8353.535353535353,0.0,0.0
8363.636363636364,0.0,0.0
8373.737373737375,0.0,0.0
8383.838383838383,0.0,0.0
8393.939393939394,0.0,0.0
8404.040404040405,0.0,0.0
8414.141414141413,0.0,0.0
8424.242424242424,0.0,0.0
8434.343434343435,0.0,0.0
8444.444444444445,0.0,0.0
8454.545454545454,0.0,0.0
8464.646464646465,0.0,0.0
8474.747474747475,0.0,0.0
8484.848484848484,0.0,0.0
8494.949494949495,0.0,0.0
8505.050505050505,0.0,0.0
8515.151515151516,0.0,0.0
8525.252525252525,0.0,0.0
8535.353535353535,0.0,0.0
8545.454545454546,0.0,0.0
8555.555555555555,0.0,0.0
8565.656565656565,0.0,0.0
8575.757575757576,0.0,0.0
8585.858585858587,0.0,0.0
8595.959595959595,0.0,0.0
8606.060606060606,0.0,0.0
8616.161616161617,0.0,0.0
8626.262626262625,0.0,0.0
8636.363636363636,0.0,0.0
8646.464646464647,0.0,0.0
8656.565656565657,0.0,0.0
8666.666666666666,0.0,0.0
8676.767676767677,0.0,0.0
8686.868686868687,0.0,0.0
8696.969696969696,0.0,0.0
8707.070707070707,0.0,0.0
8717.171717171717,0.0,0.0
8727.272727272728,0.0,0.0
8737.373737373737,0.0,0.0
8747.474747474747,0.0,0.0
8757.575757575758,0.0,0.0
8767.676767676767,0.0,0.0
8777.777777777777,0.0,0.0
8787.878787878788,0.0,0.0
8797.979797979799,0.0,0.0
8808.080808080807,0.0,0.0
8818.181818181818,0.0,0.0
8828.282828282829,0.0,0.0
8838.383838383837,0.0,0.0
8848.484848484848,0.0,0.0
8858.585858585859,0.0,0.0
8868.68686868687,0.0,0.0
8878.787878787878,0.0,0.0
8888.888888888889,0.0,0.0
8898.9898989899,0.0,0.0
8909.090909090908,0.0,0.0
8919.191919191919,0.0,0.0
8929.29292929293,0.0,0.0
8939.39393939394,0.0,0.0
8949.494949494949,0.0,0.0
8959.59595959596,0.0,0.0
8969.69696969697,0.0,0.0
8979.797979797979,0.0,0.0
8989.89898989899,0.0,0.0
9000.0,0.0,0.0
