Energy_keV,Energy_eV,Ru_C_Reflectivity,W_B4C_Reflectivity
0.5,500.0,,
0.5397698849424712,539.7698849424712,,
0.5795397698849425,579.5397698849425,,
0.6193096548274137,619.3096548274137,,
0.659079539769885,659.079539769885,,
0.6988494247123562,698.8494247123563,,
0.7386193096548275,738.6193096548275,,
0.7783891945972987,778.3891945972987,,
0.81815907953977,818.15907953977,,
0.8579289644822412,857.9289644822412,,
0.8976988494247125,897.6988494247124,,
0.9374687343671837,937.4687343671837,,
0.9772386193096548,977.2386193096548,,
1.017008504252126,1017.0085042521259,,
1.0567783891945974,1056.7783891945974,,
1.0965482741370685,1096.5482741370683,,
1.13631815907954,1136.31815907954,,
1.176088044022011,1176.088044022011,,
1.2158579289644824,1215.8579289644824,,
1.2556278139069534,1255.6278139069534,,
1.295397698849425,1295.3976988494248,,
1.335167583791896,1335.1675837918958,,
1.3749374687343674,1374.9374687343675,,
1.4147073536768384,1414.7073536768385,,
1.4544772386193097,1454.4772386193097,,
1.494247123561781,1494.2471235617809,,
1.5340170085042522,1534.017008504252,,
1.5737868934467234,1573.7868934467233,,
1.6135567783891946,1613.5567783891947,,
1.653326663331666,1653.326663331666,,
1.6930965482741371,1693.0965482741371,,
1.7328664332166084,1732.8664332166084,,
1.7726363181590796,1772.6363181590796,,
1.8124062031015509,1812.4062031015508,,
1.8521760880440221,1852.1760880440222,,
1.8919459729864934,1891.9459729864934,,
1.9317158579289646,1931.7158579289646,,
1.9714857428714359,1971.4857428714358,,
2.011255627813907,2011.2556278139068,,
2.0510255127563783,2051.0255127563782,,
2.09079539769885,2090.7953976988497,,
2.130565282641321,2130.5652826413207,,
2.170335167583792,2170.3351675837916,,
2.2101050525262633,2210.1050525262635,,
2.249874937468735,2249.874937468735,,
2.289644822411206,2289.644822411206,,
2.329414707353677,2329.414707353677,,
2.3691845922961483,2369.1845922961484,,
2.4089544772386193,2408.9544772386193,,
2.448724362181091,2448.724362181091,,
2.488494247123562,2488.4942471235618,,
2.5282641320660333,2528.264132066033,,
2.5680340170085043,2568.034017008504,,
2.6078039019509758,2607.8039019509756,,
2.647573786893447,2647.5737868934466,,
2.6873436718359183,2687.3436718359185,,
2.7271135567783893,2727.1135567783895,,
2.7668834417208608,2766.883441720861,,
2.806653326663332,2806.653326663332,,
2.8464232116058032,2846.4232116058033,,
2.8861930965482743,2886.1930965482743,,
2.9259629814907457,2925.9629814907457,,
2.9657328664332168,2965.7328664332167,,
3.0055027513756882,3005.502751375688,,
3.0452726363181593,3045.272636318159,,
3.0850425212606303,3085.04252126063,,
3.1248124062031017,3124.8124062031015,,
3.1645822911455728,3164.582291145573,,
3.2043521760880442,3204.3521760880444,,
3.2441220610305153,3244.1220610305154,,
3.2838919459729867,3283.891945972987,,
3.3236618309154577,3323.661830915458,,
3.363431715857929,3363.4317158579292,,
3.4032016008004002,3403.2016008004002,,
3.4429714857428717,3442.9714857428717,,
3.4827413706853427,3482.7413706853426,,
3.522511255627814,3522.511255627814,,
3.562281140570285,3562.281140570285,,
3.6020510255127567,3602.0510255127565,,
3.6418209104552277,3641.820910455228,,
3.681590795397699,3681.5907953976994,,
3.72136068034017,3721.3606803401703,,
3.7611305652826417,3761.130565282642,,
3.8009004502251127,3800.9004502251128,,
3.840670335167584,3840.670335167584,,
3.880440220110055,3880.440220110055,,
3.9202101050525267,3920.2101050525266,,
3.9599799899949977,3959.9799899949976,,
3.999749874937469,3999.749874937469,,
4.039519759879941,4039.5197598799405,,
4.079289644822412,4079.2896448224114,,
4.119059529764883,4119.059529764882,,
4.158829414707354,4158.829414707354,,
4.198599299649825,4198.599299649824,,
4.238369184592297,4238.369184592297,,
4.278139069534768,4278.139069534767,,
4.317908954477239,4317.908954477239,,
4.357678839419711,4357.67883941971,,
4.397448724362182,4397.448724362182,,
4.437218609304653,4437.218609304653,,
4.476988494247124,4476.9884942471235,,
4.516758379189595,4516.758379189595,,
4.556528264132067,4556.528264132066,,
4.596298149074538,4596.298149074538,,
4.636068034017009,4636.068034017008,,
4.67583791895948,4675.83791895948,,
4.7156078039019516,4715.607803901951,,
4.755377688844423,4755.377688844423,,
4.795147573786894,4795.147573786893,,
4.834917458729365,4834.917458729365,,
4.8746873436718365,4874.687343671837,,
4.914457228614308,4914.4572286143075,,
4.954227113556779,4954.227113556779,,
4.99399699849925,4993.9969984992495,,
5.0337668834417215,5033.766883441722,,
5.0735367683841925,5073.536768384192,,
5.113306653326664,5113.306653326664,,
5.153076538269135,5153.076538269134,,
5.1928464232116065,5192.846423211607,,
5.2326163081540775,5232.616308154077,,
5.2723861930965485,5272.386193096549,,
5.31215607803902,5312.156078039019,,
5.3519259629814915,5351.9259629814915,,
5.3916958479239625,5391.695847923963,,
5.4314657328664335,5431.465732866433,,
5.4712356178089045,5471.235617808905,,
5.5110055027513765,5511.005502751376,,
5.5507753876938475,5550.775387693848,,
5.5905452726363185,5590.545272636318,,
5.6303151575787895,5630.31515757879,,
5.6700850425212606,5670.08504252126,,
5.7098549274637325,5709.854927463733,,
5.7496248124062035,5749.624812406203,,
5.7893946973486745,5789.3946973486745,,
5.8291645822911455,5829.164582291146,,
5.8689344672336174,5868.934467233617,,
5.9087043521760885,5908.704352176089,,
5.9484742371185595,5948.474237118559,,
5.9882441220610305,5988.244122061031,,
6.028014007003502,6028.014007003502,,
6.0677838919459735,6067.783891945974,,
6.1075537768884445,6107.553776888444,,
6.1473236618309155,6147.323661830916,,
6.187093546773387,6187.093546773387,,
6.226863431715858,6226.8634317158585,,
