Energy_keV,Ru_C_Reflectivity,W_B4C_Reflectivity
0.5,1e-08,1e-08
0.549718574108818,1e-08,1e-08
0.599437148217636,1e-08,1e-08
0.649155722326454,1e-08,1e-08
0.6988742964352721,1e-08,1e-08
0.7485928705440901,1e-08,1e-08
0.798311444652908,1e-08,1e-08
0.848030018761726,1e-08,1e-08
0.8977485928705441,1e-08,1e-08
0.9474671669793622,1e-08,1e-08
0.9971857410881801,1e-08,1e-08
1.0469043151969981,1e-08,1e-08
1.096622889305816,1e-08,1e-08
1.1463414634146343,1e-08,1e-08
1.196060037523452,1e-08,1e-08
1.2457786116322702,1e-08,1e-08
1.2954971857410882,1e-08,1e-08
1.3452157598499062,1e-08,1e-08
1.3949343339587243,1e-08,1e-08
1.444652908067542,1e-08,1e-08
1.4943714821763603,1e-08,1e-08
1.5440900562851783,1e-08,1e-08
1.5938086303939962,1e-08,1e-08
1.6435272045028142,1e-08,1e-08
1.6932457786116322,1e-08,1e-08
1.7429643527204504,1e-08,1e-08
1.7926829268292683,1e-08,1e-08
1.8424015009380863,1e-08,1e-08
1.8921200750469043,1e-08,1e-08
1.9418386491557222,1e-08,1e-08
1.9915572232645404,1e-08,1e-08
2.041275797373358,1e-08,1e-08
2.0909943714821764,1e-08,1e-08
2.1407129455909946,1e-08,1e-08
2.1904315196998123,1e-08,1e-08
2.2401500938086305,1e-08,1e-08
2.2898686679174487,1e-08,1e-08
2.3395872420262664,1e-08,1e-08
2.389305816135084,1e-08,1e-08
2.4390243902439024,1e-08,1e-08
2.4887429643527206,1e-08,1e-08
2.5384615384615383,1e-08,1e-08
2.5881801125703565,1e-08,1e-08
2.6378986866791747,1e-08,1e-08
2.6876172607879925,1e-08,1e-08
2.7373358348968106,1e-08,1e-08
2.7870544090056284,1e-08,1e-08
2.8367729831144466,1e-08,1e-08
2.8864915572232643,1e-08,1e-08
2.9362101313320825,1e-08,1e-08
2.9859287054409007,1e-08,1e-08
3.0356472795497185,1e-08,1e-08
3.0853658536585367,1e-08,1e-08
3.1350844277673544,1e-08,1e-08
3.1848030018761726,1e-08,1e-08
3.234521575984991,1e-08,1e-08
3.2842401500938085,1e-08,1e-08
3.3339587242026267,1e-08,1e-08
3.3836772983114445,1e-08,1e-08
3.4333958724202627,1e-08,1e-08
3.483114446529081,1e-08,1e-08
3.5328330206378986,1e-08,1e-08
3.582551594746717,1e-08,1e-08
3.6322701688555346,1e-08,1e-08
3.6819887429643527,1e-08,1e-08
3.731707317073171,1e-08,1e-08
3.7814258911819887,1e-08,1e-08
3.831144465290807,1e-08,1e-08
3.8808630393996246,1e-08,1e-08
3.930581613508443,1e-08,1e-08
3.980300187617261,1e-08,1e-08
4.030018761726079,1e-08,1e-08
4.079737335834897,1e-08,1e-08
4.129455909943715,1e-08,1e-08
4.179174484052533,1e-08,1e-08
4.228893058161351,1e-08,1e-08
4.278611632270168,1e-08,1e-08
4.328330206378987,1e-08,1e-08
4.378048780487805,1e-08,1e-08
4.427767354596623,1e-08,1e-08
4.477485928705441,1e-08,1e-08
4.527204502814259,1e-08,1e-08
4.576923076923077,1e-08,1e-08
4.626641651031895,1e-08,1e-08
4.676360225140713,1e-08,1e-08
